,hotel,arrival_date_month,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,deposit_type,customer_type,reservation_status,reservation_status_date
0,1,5,0,136,3,1,2,2,0,2,1,121
1,1,5,0,136,3,1,2,2,0,2,1,121
2,1,5,0,60,3,1,0,2,0,2,1,122
3,1,5,0,60,2,0,0,0,0,2,1,122
4,1,5,0,60,6,3,0,0,0,2,1,123
6,1,5,0,136,3,1,2,2,0,2,1,123
7,1,5,1,136,3,1,2,2,0,2,1,123
8,1,5,0,136,6,3,0,0,0,2,0,72
9,1,5,2,136,5,3,3,3,0,2,0,61
10,1,5,0,136,6,3,4,4,0,2,0,114
11,1,5,2,136,6,3,3,3,0,2,1,125
12,1,5,0,170,6,3,3,4,0,2,1,125
13,1,5,2,52,6,3,6,6,0,2,1,125
14,1,5,0,136,6,3,4,4,0,2,1,125
15,1,5,0,77,6,3,3,4,0,2,1,125
16,1,5,0,136,5,3,4,4,0,0,1,125
17,1,5,0,77,6,3,0,4,0,2,1,122
18,1,5,0,57,2,0,0,6,0,2,1,122
19,1,5,0,60,3,1,6,6,0,2,1,125
20,1,5,0,60,6,3,5,5,0,2,1,126
21,1,5,0,136,3,1,0,0,0,2,1,127
23,1,5,0,136,3,1,3,3,0,2,1,127
24,1,5,2,60,5,3,3,8,0,0,1,121
25,1,5,0,136,5,3,3,3,0,2,1,128
26,1,5,0,77,5,3,3,3,0,0,1,128
27,1,5,0,136,6,3,4,4,0,2,0,76
28,1,5,0,136,6,3,0,0,0,2,1,128
29,1,5,0,136,6,3,3,3,0,2,1,128
30,1,5,0,0,3,1,0,0,0,2,1,135
31,1,5,0,60,5,3,3,3,0,2,1,136
32,1,5,0,136,3,1,4,4,0,2,0,92
33,1,5,0,77,5,3,0,2,0,2,1,128
34,1,5,0,136,6,3,3,3,0,2,0,83
35,1,5,0,136,6,3,3,3,0,2,0,111
36,1,5,0,52,6,3,0,2,0,2,1,126
37,1,5,0,136,6,3,3,3,0,2,1,126
38,1,5,0,136,6,3,3,3,0,2,0,87
39,1,5,2,140,3,1,4,4,0,2,1,127
40,1,5,0,136,6,3,6,6,0,2,0,82
41,1,5,0,77,5,3,3,3,0,0,1,127
42,1,5,0,52,3,1,5,5,0,2,1,127
44,1,5,0,136,6,3,0,0,0,2,1,129
45,1,5,0,136,6,3,6,6,0,2,0,95
46,1,5,0,52,5,3,0,0,0,2,1,129
47,1,5,0,125,5,3,4,4,0,3,1,129
48,1,5,2,60,5,3,0,1,0,0,1,129
49,1,5,2,77,6,3,4,5,0,2,1,129
50,1,5,0,125,5,3,3,3,0,3,1,129
51,1,5,0,77,5,3,0,0,0,0,1,133
52,1,5,0,128,5,3,3,3,0,0,1,136
53,1,5,0,52,6,3,0,2,0,2,1,123
54,1,5,0,7,6,3,7,7,0,2,1,123
55,1,5,0,52,3,1,2,2,0,2,1,123
56,1,5,0,136,3,1,7,7,0,2,1,123
57,1,5,0,136,6,3,0,3,0,2,1,123
58,1,5,0,136,3,1,6,6,0,2,1,123
59,1,5,0,170,6,3,0,2,0,2,1,124
60,1,5,0,136,6,3,6,6,0,2,1,124
61,1,5,0,77,6,3,4,4,0,2,1,124
62,1,5,0,52,3,1,5,5,0,2,1,125
63,1,5,0,77,5,3,0,2,0,0,1,125
64,1,5,2,136,6,3,0,0,0,2,0,119
65,1,5,0,170,6,3,6,7,0,2,1,125
66,1,5,0,52,6,3,0,2,0,2,1,125
67,1,5,0,134,6,3,3,3,0,2,1,125
68,1,5,0,136,5,3,0,0,0,2,0,108
69,1,5,0,136,6,3,0,0,0,2,0,110
70,1,5,0,136,6,3,3,3,0,2,0,123
71,1,5,0,136,6,3,0,0,0,2,0,104
